,Company,Date,Price,Share Total,Type,Price_m
878,INFICON Holding AG,23.03.2017,189850.0,1000,Sale,0.2
879,Leonteq AG,23.03.2017,95004.0,2474,Purchase,0.1
880,Leonteq AG,23.03.2017,87515.0,2279,Purchase,0.1
881,Leonteq AG,23.03.2017,15014.0,391,Purchase,0.0
882,Novartis AG,23.03.2017,295295.0,4000,Sale,0.3
883,Arbonia AG,22.03.2017,2669043.0,157449,Purchase,2.7
884,BKW AG,22.03.2017,19440.0,600,Purchase,0.0
885,Bank Coop AG,22.03.2017,77992272.0,1751848,Purchase,78.0
886,Givaudan SA,22.03.2017,103768.0,56,Sale,0.1
887,Partners Group Holding AG,22.03.2017,2730000.0,5000,Sale,2.7
888,St. Galler Kantonalbank,22.03.2017,71980.0,1104,Sale,0.1
889,APG SGA SA,21.03.2017,95494.0,207,Sale,0.1
890,Chocoladefabriken Lindt & Sprüngli AG,21.03.2017,730065.0,128,Sale,0.7
891,Clariant AG,21.03.2017,950265.0,50000,Sale,1.0
892,Givaudan SA,21.03.2017,926919.0,500,Sale,0.9
893,Orell Füssli Holding AG,21.03.2017,12667.0,108,Purchase,0.0
894,Syngenta AG,21.03.2017,248706.0,2841,Purchase,0.2
895,Tecan Group AG,21.03.2017,921593.0,6104,Sale,0.9
896,Tecan Group AG,21.03.2017,619025.0,4100,Sale,0.6
897,Tecan Group AG,21.03.2017,301963.0,2000,Sale,0.3
898,u-blox Holding AG,21.03.2017,212500.0,1000,Sale,0.2
899,BKW AG,20.03.2017,6480.0,200,Purchase,0.0
900,Banque Cantonale Vaudoise,20.03.2017,53000.0,100,Purchase,0.1
901,Chocoladefabriken Lindt & Sprüngli AG,20.03.2017,808980.0,142,Sale,0.8
902,Comet Holding AG,20.03.2017,125500.0,100,Sale,0.1
903,Geberit AG,20.03.2017,448156.0,1028,Purchase,0.4
904,Geberit AG,20.03.2017,268545.0,616,Purchase,0.3
905,Geberit AG,20.03.2017,69752.0,160,Purchase,0.1
906,INFICON Holding AG,20.03.2017,174058.0,1050,Sale,0.2
907,Swiss Life Holding AG,20.03.2017,542640.0,1680,Sale,0.5
908,dormakaba Holding AG,20.03.2017,120150.0,150,Sale,0.1
909,BKW AG,19.03.2017,19440.0,600,Purchase,0.0
910,Arbonia AG,17.03.2017,316717.0,18601,Purchase,0.3
911,Banque Cantonale Vaudoise,17.03.2017,53000.0,100,Purchase,0.1
912,Chocoladefabriken Lindt & Sprüngli AG,17.03.2017,898220.0,158,Sale,0.9
913,Conzzeta AG,17.03.2017,107152.0,181,Purchase,0.1
914,Conzzeta AG,17.03.2017,71040.0,120,Purchase,0.1
915,Conzzeta AG,17.03.2017,43216.0,73,Purchase,0.0
916,Edisun Power Europe AG,17.03.2017,5754.0,120,Purchase,0.0
917,INFICON Holding AG,17.03.2017,78404.0,300,Sale,0.1
918,SGS SA,17.03.2017,53760.0,32386,Sale,0.1
919,Vontobel Holding AG,17.03.2017,1498617.0,25771,Sale,1.5
920,u-blox Holding AG,17.03.2017,313211.0,2081,Sale,0.3
921,Adecco Group AG,16.03.2017,168314.0,2410,Sale,0.2
922,Adecco Group AG,16.03.2017,67046.0,960,Sale,0.1
923,Banque Cantonale Vaudoise,16.03.2017,53000.0,100,Purchase,0.1
924,Chocoladefabriken Lindt & Sprüngli AG,16.03.2017,1698075.0,300,Sale,1.7
925,Starrag Group Holding AG,16.03.2017,51100.0,700,Purchase,0.1
926,dormakaba Holding AG,16.03.2017,1194216.0,1500,Sale,1.2
927,u-blox Holding AG,16.03.2017,208000.0,1000,Sale,0.2
928,ABB Ltd,15.03.2017,48582.0,2128,Sale,0.0
929,ABB Ltd,15.03.2017,45993.0,2019,Sale,0.0
930,ABB Ltd,15.03.2017,22960.0,1007,Sale,0.0
931,ABB Ltd,15.03.2017,15549.0,679,Sale,0.0
932,Arbonia AG,15.03.2017,306002.0,18009,Purchase,0.3
933,Chocoladefabriken Lindt & Sprüngli AG,15.03.2017,1683415.0,300,Sale,1.7
934,Geberit AG,15.03.2017,214100.0,500,Sale,0.2
935,Intershop Holding AG,15.03.2017,240000.0,1,Purchase,0.2
936,Intershop Holding AG,15.03.2017,100000.0,1,Purchase,0.1
937,Swiss Life Holding AG,15.03.2017,484200.0,1500,Sale,0.5
938,Vontobel Holding AG,15.03.2017,335952.0,5895,Sale,0.3
939,nebag ag,15.03.2017,10500.0,1000,Sale,0.0
940,Edisun Power Europe AG,14.03.2017,4806.0,99,Purchase,0.0
941,Galenica AG,14.03.2017,292415.0,251,Purchase,0.3
942,Galenica AG,14.03.2017,192225.0,165,Purchase,0.2
943,Galenica AG,14.03.2017,159924.0,191,Purchase,0.2
944,Galenica AG,14.03.2017,74519.0,89,Purchase,0.1
945,Vontobel Holding AG,14.03.2017,548981.0,9735,Sale,0.5
946,dormakaba Holding AG,14.03.2017,664176.0,822,Sale,0.7
947,Calida Holding AG,13.03.2017,130292.0,4645,Sale,0.1
948,Dottikon ES Holding AG,13.03.2017,6000000.0,10000,Sale,6.0
949,Helvetia Holding AG,13.03.2017,300899.0,550,Purchase,0.3
950,"OC Oerlikon Corporation AG, Pfäffikon",13.03.2017,123765.0,11407,Sale,0.1
951,Roche Holding AG,13.03.2017,1149720.0,4422,Purchase,1.1
952,Vontobel Holding AG,13.03.2017,301683.0,5355,Sale,0.3
953,dorma+kaba Holding AG,13.03.2017,144480.0,178,Sale,0.1
954,Banque Cantonale de Genève,10.03.2017,1.0,138,Purchase,0.0
955,Castle Private Equity AG,10.03.2017,73290.0,4624,Sale,0.1
956,Gurit Holding AG,10.03.2017,25560.0,30,Sale,0.0
957,Julius Bär Gruppe AG,10.03.2017,198000.0,4000,Sale,0.2
958,Logitech International S.A.,10.03.2017,17194.0,10000,Sale,0.0
959,Schindler Holding AG,10.03.2017,134694.0,703,Sale,0.1
960,BFW Liegenschaften AG,09.03.2017,222509.0,5000,Sale,0.2
961,Bossard Holding AG,09.03.2017,22875.0,125,Sale,0.0
962,Comet Holding AG,09.03.2017,17205.0,15,Sale,0.0
963,Implenia AG,09.03.2017,143478.0,2000,Sale,0.1
964,Roche Holding AG,09.03.2017,129000.0,500,Purchase,0.1
965,Straumann Holding AG,09.03.2017,109627.0,250,Sale,0.1
966,UBS Group AG,09.03.2017,69784.0,4400,Sale,0.1
967,nebag ag,09.03.2017,10500.0,1000,Sale,0.0
968,Banque Cantonale de Genève,08.03.2017,1.0,1218,Purchase,0.0
969,Bucher Industries AG,08.03.2017,72000.0,1200,Sale,0.1
970,Feintool International Holding AG,08.03.2017,396000.0,3000,Sale,0.4
971,Logitech International S.A.,08.03.2017,26395.0,15000,Sale,0.0
972,Schindler Holding AG,08.03.2017,2993050.0,15500,Purchase,3.0
973,nebag ag,08.03.2017,40950.0,3900,Sale,0.0
974,u-blox Holding AG,08.03.2017,205929.0,1000,Sale,0.2
975,Altin AG,07.03.2017,79155.0,3376,Purchase,0.1
976,Vontobel Holding AG,07.03.2017,496821.0,8940,Sale,0.5
977,Arbonia AG,06.03.2017,5345390.0,312962,Purchase,5.3
978,Clariant AG,06.03.2017,9455.0,500,Purchase,0.0
979,Schindler Holding AG,06.03.2017,3851.0,20,Purchase,0.0
980,nebag ag,06.03.2017,1050.0,100,Sale,0.0
981,Nestlé AG,03.03.2017,402300.0,5400,Sale,0.4
982,UBS Group AG,03.03.2017,2445752.0,152971,Sale,2.4
983,nebag ag,03.03.2017,17929.0,1711,Sale,0.0
984,Credit Suisse Group AG,02.03.2017,632936.0,40000,Sale,0.6
985,Nestlé AG,02.03.2017,192359.0,2582,Sale,0.2
986,Vontobel Holding AG,02.03.2017,276950.0,5000,Sale,0.3
987,Zehnder Group AG,02.03.2017,70784.0,2901,Purchase,0.1
988,Zehnder Group AG,02.03.2017,34989.0,1434,Purchase,0.0
989,Georg Fischer AG,01.03.2017,73992.0,85,Sale,0.1
990,Schindler Holding AG,01.03.2017,829962.0,7349,Sale,0.8
991,Schindler Holding AG,01.03.2017,263453.0,1367,Sale,0.3
992,Vontobel Holding AG,01.03.2017,577506.0,10395,Sale,0.6
993,Vontobel Holding AG,01.03.2017,333518.0,6000,Sale,0.3
994,mobilezone holding ag,01.03.2017,201755.0,1,Purchase,0.2
995,nebag ag,01.03.2017,4692.0,449,Sale,0.0
997,Basilea Pharmaceutica AG,28.02.2017,61000.0,1000,Sale,0.1
998,Mobimo Holding AG,28.02.2017,32564.0,123,Sale,0.0
999,Novartis AG,28.02.2017,165000.0,1,Purchase,0.2
1000,Novartis AG,28.02.2017,60000.0,1,Purchase,0.1
1001,Schindler Holding AG,28.02.2017,105600.0,550,Sale,0.1
1002,Vontobel Holding AG,28.02.2017,295527.0,5372,Sale,0.3
1003,ABB Ltd,27.02.2017,326076.0,14409,Purchase,0.3
1004,ABB Ltd,27.02.2017,187037.0,8265,Purchase,0.2
1005,Altin AG,27.02.2017,1857.0,80,Purchase,0.0
1006,Barry Callebaut AG,27.02.2017,124922.0,96,Sale,0.1
1007,Credit Suisse Group AG,27.02.2017,372750.0,25000,Sale,0.4
1008,Implenia AG,27.02.2017,148300.0,2000,Sale,0.1
1009,Lonza Group AG,27.02.2017,149791.0,830,Purchase,0.1
1010,Schindler Holding AG,27.02.2017,77500.0,1460,Sale,0.1
1011,Implenia AG,24.02.2017,150400.0,2000,Sale,0.2
1012,Implenia AG,24.02.2017,20283.0,270,Purchase,0.0
1013,Swiss Re AG,24.02.2017,905080.0,10000,Sale,0.9
1014,Vontobel Holding AG,24.02.2017,23608.0,428,Sale,0.0
1015,Ypsomed Holding AG,24.02.2017,280596.0,1449,Sale,0.3
1016,Altin AG,23.02.2017,11654.0,501,Purchase,0.0
1017,KTM Industries AG,23.02.2017,133306450.0,27205398,Sale,133.3
1018,KTM Industries AG,23.02.2017,682577.0,139428,Sale,0.7
1019,Schindler Holding AG,23.02.2017,108509.0,951,Sale,0.1
1020,Straumann Holding AG,23.02.2017,214670.0,500,Sale,0.2
1021,Ypsomed Holding AG,23.02.2017,503778.0,2600,Sale,0.5
1022,nebag ag,23.02.2017,75148.0,7157,Sale,0.1
1023,Barry Callebaut AG,22.02.2017,292570.0,225,Sale,0.3
1024,Mobimo Holding AG,22.02.2017,114912.0,432,Sale,0.1
1025,Nestlé AG,22.02.2017,1839037.0,34510,Purchase,1.8
1026,Sonova Holding AG,22.02.2017,262000.0,2000,Sale,0.3
1027,Vontobel Holding AG,22.02.2017,276418.0,4985,Sale,0.3
1028,Walter Meier AG,22.02.2017,53228.0,1236,Purchase,0.1
1029,Ypsomed Holding AG,22.02.2017,207620.0,1073,Sale,0.2
1030,Edisun Power Europe AG,21.02.2017,4320.0,89,Purchase,0.0
1031,Temenos Group AG,21.02.2017,15034020.0,200000,Sale,15.0
1032,UBS Group AG,21.02.2017,784806.0,48952,Sale,0.8
1033,Vontobel Holding AG,21.02.2017,455716.0,8113,Sale,0.5
1034,u-blox Holding AG,21.02.2017,195000.0,1000,Sale,0.2
1035,Edisun Power Europe AG,20.02.2017,7735.0,159,Purchase,0.0
1036,Partners Group Holding AG,20.02.2017,10207524.0,1,Granting / Writing,10.2
1037,Partners Group Holding AG,20.02.2017,10207524.0,1,Granting / Writing,10.2
1038,Vontobel Holding AG,20.02.2017,560000.0,10000,Sale,0.6
1039,Vontobel Holding AG,20.02.2017,56250.0,1000,Sale,0.1
1040,Schindler Holding AG,17.02.2017,344601.0,2564,Sale,0.3
1041,Schindler Holding AG,17.02.2017,264064.0,4682,Purchase,0.3
1042,Temenos Group AG,17.02.2017,26285094.0,355000,Sale,26.3
1043,Temenos Group AG,17.02.2017,14602052.0,194953,Purchase,14.6
1044,Vontobel Holding AG,17.02.2017,408511.0,7291,Sale,0.4
1045,Vontobel Holding AG,17.02.2017,195832.0,3497,Sale,0.2
1046,Comet Holding AG,16.02.2017,103895.0,99,Sale,0.1
1047,SGS SA,16.02.2017,65731.0,41082,Sale,0.1
1048,Schindler Holding AG,16.02.2017,101495.0,530,Sale,0.1
1049,Temenos Group AG,16.02.2017,4074975.0,55000,Sale,4.1
1050,Vontobel Holding AG,16.02.2017,560091.0,10000,Sale,0.6
1051,Vontobel Holding AG,16.02.2017,12182.0,216,Sale,0.0
1052,nebag ag,16.02.2017,43563.0,4184,Sale,0.0
1053,Partners Group Holding AG,15.02.2017,169920.0,720,Purchase,0.2
1054,Temenos Group AG,15.02.2017,1351136.0,19422,Sale,1.4
1055,Temenos Group AG,15.02.2017,254077.0,3475,Purchase,0.3
1056,Vontobel Holding AG,15.02.2017,625446.0,11199,Sale,0.6
1057,nebag ag,15.02.2017,32510.0,3126,Sale,0.0
1058,Altin AG,14.02.2017,21110.0,896,Purchase,0.0
1059,Leonteq AG,14.02.2017,9585.0,300,Purchase,0.0
1060,Novartis AG,14.02.2017,600178.0,8073,Sale,0.6
1061,Vontobel Holding AG,14.02.2017,219600.0,4000,Sale,0.2
1062,ams AG,14.02.2017,82555.0,1900,Purchase,0.1
1063,u-blox Holding AG,14.02.2017,188000.0,1000,Sale,0.2
1064,Leonteq AG,13.02.2017,96150.0,3000,Purchase,0.1
1065,Leonteq AG,13.02.2017,32195.0,1000,Purchase,0.0
1066,Ypsomed Holding AG,13.02.2017,2735.0,14,Sale,0.0
1067,Chocoladefabriken Lindt & Sprüngli AG,10.02.2017,154000.0,28,Sale,0.2
1068,Leonteq AG,10.02.2017,563677.0,18191,Purchase,0.6
1069,Leonteq AG,10.02.2017,93724.0,3000,Purchase,0.1
1070,Vontobel Holding AG,10.02.2017,166639.0,3000,Sale,0.2
1071,Ypsomed Holding AG,10.02.2017,390100.0,2000,Sale,0.4
1072,Altin AG,09.02.2017,52900.0,2300,Purchase,0.1
1073,Edisun Power Europe AG,09.02.2017,2440.0,50,Purchase,0.0
1074,Vontobel Holding AG,09.02.2017,2496000.0,48000,Sale,2.5
1075,Bâloise Holding AG,08.02.2017,124100.0,1066,Purchase,0.1
1076,Bâloise Holding AG,08.02.2017,40911.0,357,Purchase,0.0
1077,KTM Industries AG,08.02.2017,292500.0,50000,Sale,0.3
1078,ams AG,08.02.2017,17870.0,600,Sale,0.0
1079,nebag ag,08.02.2017,50330.0,4858,Sale,0.1
1080,Chocoladefabriken Lindt & Sprüngli AG,07.02.2017,1094035.0,200,Sale,1.1
1081,ams AG,07.02.2017,399957.0,31665,Purchase,0.4
1082,ams AG,07.02.2017,481800.0,2190000,Purchase,0.5
1083,ams AG,07.02.2017,480700.0,2090000,Purchase,0.5
1084,ams AG,07.02.2017,335000.0,1340000,Purchase,0.3
1085,ams AG,07.02.2017,321200.0,1460000,Purchase,0.3
1086,nebag ag,07.02.2017,13196.0,1275,Sale,0.0
1087,u-blox Holding AG,07.02.2017,183000.0,1000,Sale,0.2
1088,Edisun Power Europe AG,06.02.2017,4156.0,85,Purchase,0.0
1089,nebag ag,06.02.2017,4140.0,400,Sale,0.0
1090,Edisun Power Europe AG,02.02.2017,4156.0,85,Purchase,0.0
1091,Altin AG,01.02.2017,24428.0,1000,Purchase,0.0
1092,Chocoladefabriken Lindt & Sprüngli AG,01.02.2017,337385.0,61,Sale,0.3
1093,Novartis AG,01.02.2017,2028600.0,28000,Sale,2.0
1094,Altin AG,31.01.2017,18560.0,759,Purchase,0.0
1095,Galenica AG,31.01.2017,169971.0,203,Purchase,0.2
1096,Galenica AG,31.01.2017,149876.0,179,Purchase,0.1
1097,Galenica AG,31.01.2017,129781.0,155,Purchase,0.1
1098,Galenica AG,31.01.2017,75357.0,90,Purchase,0.1
1099,Galenica AG,31.01.2017,20095.0,24,Purchase,0.0
1100,Logitech International S.A.,31.01.2017,21104.0,1260,Purchase,0.0
1101,Logitech International S.A.,31.01.2017,13583.0,811,Purchase,0.0
1102,Altin AG,30.01.2017,34140.0,1392,Purchase,0.0
1103,nebag ag,30.01.2017,86612.0,8450,Sale,0.1
1104,KTM Industries AG,27.01.2017,285233.0,50000,Sale,0.3
1105,u-blox Holding AG,27.01.2017,186850.0,1000,Sale,0.2
1106,u-blox Holding AG,27.01.2017,29585.0,499,Purchase,0.0
1107,Novartis AG,26.01.2017,1514628.0,20878,Sale,1.5
1108,Sonova Holding AG,26.01.2017,129000.0,1000,Sale,0.1
1109,nebag ag,26.01.2017,913.0,90,Sale,0.0
1110,Chocoladefabriken Lindt & Sprüngli AG,25.01.2017,289680.0,51,Sale,0.3
1111,Hypothekarbank Lenzburg,25.01.2017,8880.0,2,Sale,0.0
1112,Bobst Group SA,24.01.2017,23661.0,329,Sale,0.0
1113,Bobst Group SA,24.01.2017,359.0,5,Sale,0.0
1114,Edisun Power Europe AG,24.01.2017,7211.0,148,Purchase,0.0
1115,Novartis AG,24.01.2017,637512.0,8935,Purchase,0.6
1116,Novartis AG,24.01.2017,248855.0,3435,Purchase,0.2
1117,Bobst Group SA,23.01.2017,6497.0,91,Sale,0.0
1118,DUFRY AG,23.01.2017,3080317.0,22000,Purchase,3.1
1119,Kühne + Nagel International AG,23.01.2017,331250.0,2500,Purchase,0.3
1120,SGS SA,23.01.2017,42274.0,29982,Sale,0.0
1121,u-blox Holding AG,23.01.2017,12724.0,499,Purchase,0.0
1122,Bobst Group SA,20.01.2017,7671.0,108,Sale,0.0
1123,nebag ag,20.01.2017,60981.0,6008,Sale,0.1
1124,Bobst Group SA,19.01.2017,10766.0,151,Sale,0.0
1125,Bobst Group SA,19.01.2017,142.0,2,Sale,0.0
1126,Zuger Kantonalbank AG,19.01.2017,66420.0,18,Purchase,0.1
1127,Zuger Kantonalbank AG,19.01.2017,88560.0,24,Purchase,0.1
1128,Zuger Kantonalbank AG,19.01.2017,55350.0,15,Purchase,0.1
1129,u-blox Holding AG,19.01.2017,123382.0,2081,Purchase,0.1
1130,Altin AG,18.01.2017,51509.0,2077,Purchase,0.1
1131,Bobst Group SA,18.01.2017,5288.0,75,Sale,0.0
1132,Chocoladefabriken Lindt & Sprüngli AG,18.01.2017,2000340.0,350,Sale,2.0
1133,Chocoladefabriken Lindt & Sprüngli AG,18.01.2017,114600.0,20,Sale,0.1
1134,Edisun Power Europe AG,18.01.2017,9850.0,200,Purchase,0.0
1135,Geberit AG,18.01.2017,94544.0,482,Purchase,0.1
1136,Bobst Group SA,17.01.2017,8779.0,125,Sale,0.0
1137,Bobst Group SA,17.01.2017,140.0,2,Sale,0.0
1138,Edisun Power Europe AG,17.01.2017,10989.0,220,Purchase,0.0
1139,Kühne + Nagel International AG,17.01.2017,173310.0,1308,Purchase,0.2
1140,nebag ag,17.01.2017,8120.0,800,Sale,0.0
1141,Bobst Group SA,16.01.2017,3930.0,55,Sale,0.0
1142,Dottikon ES Holding AG,16.01.2017,17700.0,30,Sale,0.0
1143,Bachem Holding AG,13.01.2017,522062.0,5000,Sale,0.5
1144,Bobst Group SA,13.01.2017,6239.0,87,Sale,0.0
1145,Schaffner Holding AG,13.01.2017,90200.0,1000,Sale,0.1
1146,Altin AG,12.01.2017,25.0,1,Purchase,0.0
1147,Arundel AG,12.01.2017,237515.0,27943,Purchase,0.2
1148,Bobst Group SA,12.01.2017,17822.0,249,Sale,0.0
1149,Bobst Group SA,12.01.2017,286.0,4,Sale,0.0
1150,Compagnie Financière Richemont SA,12.01.2017,8316000.0,150000,Sale,8.3
1151,Schaffner Holding AG,12.01.2017,79632.0,316,Purchase,0.1
1152,Schaffner Holding AG,12.01.2017,33768.0,134,Purchase,0.0
1153,Schaffner Holding AG,12.01.2017,33012.0,131,Purchase,0.0
1154,Schaffner Holding AG,12.01.2017,30012.0,131,Purchase,0.0
1155,Ypsomed Holding AG,12.01.2017,934571.0,5410,Purchase,0.9
1156,Altin AG,11.01.2017,246654.0,9830,Purchase,0.2
1157,Bobst Group SA,11.01.2017,36544.0,513,Sale,0.0
1158,Bobst Group SA,11.01.2017,641.0,9,Sale,0.0
1159,Edisun Power Europe AG,11.01.2017,5139.0,105,Purchase,0.0
1160,Altin AG,10.01.2017,1026.0,41,Purchase,0.0
1161,Bobst Group SA,10.01.2017,11053.0,153,Sale,0.0
1162,Compagnie Financière Tradition S.A.,10.01.2017,12500.0,5000,Purchase,0.0
1163,nebag ag,10.01.2017,12261.0,1214,Sale,0.0
1164,Bobst Group SA,09.01.2017,19045.0,267,Sale,0.0
1165,Bobst Group SA,09.01.2017,285.0,4,Sale,0.0
1166,Dottikon ES Holding AG,09.01.2017,15270.0,30,Sale,0.0
1167,nebag ag,09.01.2017,10100.0,1000,Sale,0.0
1168,Bobst Group SA,06.01.2017,20535.0,292,Sale,0.0
1169,Bobst Group SA,06.01.2017,351.0,5,Sale,0.0
1170,Partners Group Holding AG,06.01.2017,27269.0,57,Sale,0.0
1171,Altin AG,05.01.2017,589042.0,23703,Purchase,0.6
1172,Bobst Group SA,05.01.2017,792.0,11,Sale,0.0
1173,Partners Group Holding AG,05.01.2017,27178.0,57,Sale,0.0
1174,nebag ag,05.01.2017,17820.0,1800,Purchase,0.0
1175,Partners Group Holding AG,04.01.2017,27428.0,57,Sale,0.0
1176,Clariant AG,03.01.2017,535537.0,30000,Purchase,0.5
1177,LEM Holding SA,03.01.2017,47620.0,50,Purchase,0.0
1178,Partners Group Holding AG,03.01.2017,27446.0,57,Sale,0.0
